date,type,amount,transaction,category,sub_category,team,event,invoice_number,transport
7/29/24,Expense,142.46,Avata 2 Case,Other Expenses,Drone Equipment,Airborne Images,,,
7/30/24,Expense,366.84,NHRA Sonoma,Travel & Meals: Travel,Car Rental,Airborne Images,Sonoma,240049,Rental Car
7/31/24,Expense,1112.6,NHRA Sonoma ,Travel & Meals: Travel,Hotels,Airborne Images,Sonoma,240049,
8/1/24,Expense,15.2,NHRA Sonoma - Tolls,Travel & Meals: Travel,Other Travel,Airborne Images,Sonoma,240049,
8/5/24,Income,3000,Norwalk Invoice,Gross Receipts,Drone Services,Airborne Images,Norwalk,240047,
8/19/24,Expense,319.49,Brainerd Car Rental,Travel & Meals: Travel,Car Rental,Airborne Images,Brainerd,240051,Rental Car
8/19/24,Expense,63.1,Brainerd Gas,Travel & Meals: Travel,Fuel,Airborne Images,Brainerd,240051,Rental Car
8/21/24,Expense,1161,Brainerd Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Brainerd,240051,Rental Car
8/30/24,Income,3000,Sonoma Invoice,Gross Receipts,Drone Services,Airborne Images,Sonoma,240049,
9/9/24,Expense,160.36,Indy Car,Travel & Meals: Travel,Car Rental,Airborne Images,Indy,240052,Personal Vehicle
9/9/24,Expense,38.89,Indy Gas,Travel & Meals: Travel,Fuel,Airborne Images,Indy,240052,Rental Car
9/15/24,Expense,58.72,Reading Gas,Travel & Meals: Travel,Fuel,Airborne Images,Reading,240053,Rental Car
9/15/24,Expense,616.98,Reading Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Reading,240053,
9/16/24,Expense,37.56,Reading Gas,Travel & Meals: Travel,Fuel,Airborne Images,Reading,240053,Rental Car
9/19/24,Expense,29.75,Reading,Travel and Meals: Deductible Meals,Meals,Airborne Images,Reading,240053,
9/20/24,Income,3000,Brainerd Invoice,Gross Receipts,Drone Services,Airborne Images,Brainerd,240051,
9/24/24,Expense,356.74,Reading Car,Travel & Meals: Travel,Car Rental,Airborne Images,Reading,240053,Rental Car
9/25/24,Expense,81.05,DJI Controller Repair - HDMI Port,Repairs & Maintenance,Drone Repairs,Airborne Images,,,
9/26/24,Expense,445.05,St Louis,Travel & Meals: Travel,Hotels,Airborne Images,St Louis,240054,
9/26/24,Expense,19.36,St Louis,Travel and Meals: Deductible Meals,Meals,Airborne Images,St Louis,240054,
9/26/24,Expense,166.92,Luggage,Other Expenses,Office Equipment,"TSP, LLC",,,
9/29/24,Expense,33.31,St Louis Gas,Travel & Meals: Travel,Fuel,Airborne Images,St Louis,240054,Personal Vehicle
9/29/24,Expense,48.18,St Louis Gas,Travel & Meals: Travel,Fuel,Airborne Images,St Louis,240054,Personal Vehicle
9/30/24,Expense,258.59,St Louis Car,Travel & Meals: Travel,Car Rental,Airborne Images,St Louis,240054,Rental Car
9/30/24,Expense,267.49,OWC Enclosure 2,Other Expenses,Office Equipment,"TSP, LLC",,,
10/7/24,Income,3000,Indy invoice,Gross Receipts,Drone Services,Airborne Images,Indy,240052,
10/8/24,Expense,581.38,Pomona II Air,Travel & Meals: Travel,Airfare,Airborne Images,Pomona II,240058,
10/10/24,Expense,172.44,Pomona II Airfare,Travel & Meals: Travel,Airfare,Airborne Images,Pomona II,240058,
10/14/24,Expense,463.66,Dallas Car Rental,Travel & Meals: Travel,Car Rental,Airborne Images,Dallas,240056,Rental Car
10/14/24,Expense,650.58,Dallas Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Dallas,240056,
10/16/24,Income,3000,Reading Invoice,Gross Receipts,Drone Services,Airborne Images,Reading,240053,
10/22/24,Expense,23.97,Dallas Tolls,Travel & Meals: Travel,Other Travel,Airborne Images,Dallas,240056,
10/31/24,Expense,411.88,Vegas II Car,Travel & Meals: Travel,Car Rental,Airborne Images,Vegas II,240057,Rental Car
11/1/24,Expense,18,Vegas II Parking,Travel & Meals: Travel,Other Travel,Airborne Images,Vegas II,240057,
11/3/24,Expense,277.36,Vegas II Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Vegas II,240057,
11/4/24,Income,3000,St Louis,Gross Receipts,Drone Services,Airborne Images,St Louis,240054,
11/14/24,Income,3000,Dallas Invoice,Gross Receipts,Drone Services,Airborne Images,Dallas,240056,
11/18/24,Expense,844.25,Pomona II Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Pomona II,240058,
11/18/24,Expense,311.91,Pomona II Car Rental,Travel & Meals: Travel,Car Rental,Airborne Images,Pomona II,240058,Rental Car
11/19/24,Expense,33.23,Pomona II Gas,Travel & Meals: Travel,Fuel,Airborne Images,Pomona II,240058,Rental Car
11/19/24,Expense,80,Pomona II Checked Bags,Travel & Meals: Travel,Airfare,Airborne Images,Pomona II,240058,
11/20/24,Expense,234.95,InkOwl Pro 2000 Ink,Supplies,Photography Supplies,"TSP, LLC",,,
11/22/24,Expense,29.99,Udemy Training Subscription,Other Expenses,Education,"TSP, LLC",,Monthly,
11/22/24,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
11/22/24,Expense,9.99,Apple iCloud ,Other Expenses,Software,"TSP, LLC",,Monthly,
11/22/24,Expense,13.36,Microsoft 365 Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
11/22/24,Expense,21.39,Paddle.com Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
11/22/24,Expense,15,Chase: Account Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
11/22/24,Expense,9,Chase: PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
11/22/24,Expense,144.29,Business Insurance,Insurance,Business Insurance,"TSP, LLC",,,
11/22/24,Expense,128,Computer Speakers/Lights,Other Expenses,Computer Equipment,"TSP, LLC",,,
11/22/24,Expense,74.4,FirstNet Cell Phone Purchase,Other Expenses,Office Equipment,"TSP, LLC",,,
11/22/24,Expense,17,FirstNet Cellular Service,Other Expenses,Office Equipment,"TSP, LLC",,,
11/22/24,Expense,109,FirstNet Cellular Service,Other Expenses,Office Equipment,"TSP, LLC",,,
11/22/24,Expense,99.38,FirstNet iPad Purchase,Other Expenses,Office Equipment,"TSP, LLC",,,
11/22/24,Expense,82.18,Samsung Monitor - Affirm,Other Expenses,Office Equipment,"TSP, LLC",,,
11/22/24,Expense,284.2,Affirm - Canon R5 Purchase,Other Expenses,Photography Equipment,Tom Stout Photography,,,
11/22/24,Expense,284.2,Affirm - Canon R5 Purchase,Other Expenses,Photography Equipment,Tom Stout Photography,,,
11/22/24,Expense,284.2,Affirm - Canon R5 Purchase,Other Expenses,Photography Equipment,Tom Stout Photography,,,
11/22/24,Expense,284.2,Affirm - Canon R5 Purchase,Other Expenses,Photography Equipment,Tom Stout Photography,,,
11/25/24,Expense,117.49,24x100 Photo Paper Breathing Color,Supplies,Photography Supplies,Tom Stout Photography,,,
11/26/24,Income,3000,Vegas II Invoice,Gross Receipts,Drone Services,Airborne Images,Vegas II,240057,
11/26/24,Expense,763.47,Samsung Monitor - Affirm,Other Expenses,Office Equipment,"TSP, LLC",,,
11/26/24,Expense,1323.76,Canon EOS R5,Other Expenses,Photography Equipment,Tom Stout Photography,,,
11/27/24,Expense,71.88,Siteground Hosting Annual,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
12/2/24,Expense,9,Chase: PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
12/6/24,Expense,9.99,Apple iCloud ,Other Expenses,Software,"TSP, LLC",,Monthly,
12/6/24,Expense,13.36,Microsoft 365 Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
12/10/24,Expense,144.29,Business Insurance,Insurance,Business Insurance,"TSP, LLC",,,
12/10/24,Expense,17,FirstNet Cellular Service,Other Expenses,Office Equipment,"TSP, LLC",,,
12/18/24,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
12/20/24,Expense,21.39,Paddle.com Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
12/23/24,Expense,25.16,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
12/30/24,Expense,120,Smugmug Annual Subscription,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
12/30/24,Expense,15,Chase: Account Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
12/31/24,Income,3000,Pomona II Invoice,Gross Receipts,Drone Services,Airborne Images,Pomona II,240058,
1/1/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
1/2/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
1/2/25,Expense,9,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
1/6/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
1/7/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
1/8/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
1/8/25,Expense,9,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
1/10/25,Expense,148.22,Alaska Air flight to Pomona I,Travel & Meals: Travel,Airfare,Airborne Images,Pomona II,250103,
1/10/25,Expense,27.77,"Flight insurance, Pomona I",Travel & Meals: Travel,Airfare,Airborne Images,Pomona II,250103,
1/10/25,Expense,159.91,"Return flight, Pomona I",Travel & Meals: Travel,Airfare,Airborne Images,Pomona II,250103,
1/18/25,Expense,60.45,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
1/18/25,Expense,44.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
1/20/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
1/21/25,Expense,32.09,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
1/24/25,Expense,588.36,Gainseville Flight,Travel & Meals: Travel,Airfare,Airborne Images,Gainesville,250101,
1/25/25,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
1/25/25,Expense,9.99,Apple iCloud ,Other Expenses,Software,"TSP, LLC",,Monthly,
1/25/25,Expense,13.36,Microsoft 365 Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
1/25/25,Expense,21.39,Paddle.com Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
1/25/25,Expense,15,Chase: Account Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
1/25/25,Expense,9,Chase: PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
1/25/25,Expense,143.61,Business Insurance,Insurance,Business Insurance,"TSP, LLC",,,
1/25/25,Expense,17,FirstNet Cellular Service,Other Expenses,Office Equipment,"TSP, LLC",,,
1/25/25,Expense,99.38,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
1/30/25,Expense,15,Chase Bank Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
2/1/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
2/2/25,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
2/2/25,Expense,9.99,Apple iCloud ,Other Expenses,Software,"TSP, LLC",,Monthly,
2/2/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
2/2/25,Expense,13.36,Microsoft 365 Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
2/2/25,Expense,21.39,Paddle.com Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
2/2/25,Expense,15,Chase: Account Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
2/2/25,Expense,9,Chase: PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
2/2/25,Expense,9,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
2/2/25,Expense,55,FirstNet Cellular Service,Other Expenses,Office Equipment,"TSP, LLC",,,
2/2/25,Expense,99.38,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
2/3/25,Expense,13.36,Microsoft 365 Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
2/4/25,Expense,113.58,Phoenix Airfare,Travel & Meals: Travel,Airfare,Airborne Images,Phoenix,250102,
2/4/25,Expense,401.97,Phoenix Flights,Travel & Meals: Travel,Airfare,Airborne Images,Phoenix,250102,
2/4/25,Expense,9.99,Apple iCloud ,Other Expenses,Software,"TSP, LLC",,Monthly,
2/5/25,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
2/6/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
2/6/25,Expense,99.38,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
2/7/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
2/7/25,Expense,21.39,Paddle.com Subscription,Other Expenses,Software,"TSP, LLC",,Monthly,
2/8/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
2/8/25,Expense,9,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
